,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,win_rate,yield_rate
448,16,6,-10,2,-10,0.513392857,0.671458576
449,20,6,-10,2,-10,0.512276786,0.786024229
450,24,6,-10,2,-10,0.5078125,0.368209258
451,8,6,-10,4,-10,0.510044643,0.145148981
452,12,6,-10,4,-10,0.516741071,0.39863887
453,16,6,-10,4,-10,0.516741071,1.072164635
454,20,6,-10,4,-10,0.5234375,1.32333259
455,24,6,-10,4,-10,0.518973214,0.57947441
456,4,6,-10,6,-10,0.512276786,0.151174432
457,8,6,-10,6,-10,0.518973214,0.299561161
458,12,6,-10,6,-10,0.520089286,0.584781817
459,16,6,-10,6,-10,0.527901786,1.190230982
460,20,6,-10,6,-10,0.518973214,1.492721034
461,24,6,-10,6,-10,0.518973214,0.439779335
462,4,6,-10,8,-10,0.520089286,0.22332135
463,8,6,-10,8,-10,0.515625,0.348996298
464,12,6,-10,8,-10,0.516741071,0.61572087
465,16,6,-10,8,-10,0.5234375,0.964726188
466,20,6,-10,8,-10,0.5234375,1.249408066
467,32,6,-10,8,-10,0.517857143,0.311060809
468,12,6,-10,2,-8,0.508928571,0.064866801
469,16,6,-10,2,-8,0.513392857,0.675629385
470,20,6,-10,2,-8,0.512276786,0.80421112
471,24,6,-10,2,-8,0.510044643,0.411497279
472,8,6,-10,4,-8,0.512276786,0.143871078
473,12,6,-10,4,-8,0.512276786,0.369221706
474,16,6,-10,4,-8,0.516741071,1.085886274
475,20,6,-10,4,-8,0.525669643,1.351283266
476,24,6,-10,4,-8,0.518973214,0.633964607
477,28,6,-10,4,-8,0.513392857,-0.067203932
478,4,6,-10,6,-8,0.514508929,0.145075109
479,8,6,-10,6,-8,0.520089286,0.259642061
480,12,6,-10,6,-8,0.518973214,0.551172112
481,16,6,-10,6,-8,0.521205357,1.149647636
482,20,6,-10,6,-8,0.517857143,1.504626116
483,24,6,-10,6,-8,0.521205357,0.528030116
484,4,6,-10,8,-8,0.520089286,0.217099174
485,8,6,-10,8,-8,0.515625,0.311637722
486,12,6,-10,8,-8,0.5234375,0.515178787
487,16,6,-10,8,-8,0.516741071,0.853873928
488,20,6,-10,8,-8,0.5234375,1.164710973
489,32,6,-10,8,-8,0.518973214,0.519719176
490,12,6,-10,2,-6,0.508928571,0.045442724
491,16,6,-10,2,-6,0.512276786,0.68775123
492,20,6,-10,2,-6,0.513392857,0.846368923
493,24,6,-10,2,-6,0.513392857,0.458223974
494,28,6,-10,2,-6,0.503348214,0.160064454
495,8,6,-10,4,-6,0.513392857,0.100461497
496,12,6,-10,4,-6,0.514508929,0.339857293
497,16,6,-10,4,-6,0.524553571,1.046585717
498,20,6,-10,4,-6,0.518973214,1.380326804
499,24,6,-10,4,-6,0.517857143,0.712313681
500,28,6,-10,4,-6,0.513392857,0.095493458
501,4,6,-10,6,-6,0.517857143,0.138919514
502,8,6,-10,6,-6,0.513392857,0.223530063
503,12,6,-10,6,-6,0.5234375,0.462207862
504,16,6,-10,6,-6,0.517857143,1.07091599
505,20,6,-10,6,-6,0.522321429,1.454177687
506,24,6,-10,6,-6,0.517857143,0.585885076
507,4,6,-10,8,-6,0.515625,0.210691768
508,8,6,-10,8,-6,0.517857143,0.295622808
509,12,6,-10,8,-6,0.524553571,0.408875962
510,16,6,-10,8,-6,0.515625,0.713880021
511,20,6,-10,8,-6,0.518973214,0.993119857
512,32,6,-10,8,-6,0.518973214,0.404343925
513,12,6,-10,2,-4,0.508928571,0.0118898
514,16,6,-10,2,-4,0.511160714,0.70456515
515,20,6,-10,2,-4,0.518973214,0.889401674
516,24,6,-10,2,-4,0.516741071,0.516505143
517,28,6,-10,2,-4,0.506696429,0.255792795
518,32,6,-10,2,-4,0.501116071,-0.070107578
