,price_raw,state
2018/1/25,4365.08,mb
2018/1/26,4381.3,mb
2018/1/29,4302.02,mb
2018/1/30,4256.1,mb
2018/1/31,4275.9,mb
2018/2/1,4245.9,mb
2018/2/2,4271.23,mb
2018/2/5,4274.15,mb
2018/2/6,4148.89,mb
2018/2/7,4050.5,ml
2018/2/8,4012.05,ml
2018/2/9,3840.65,ml
2018/2/12,3890.1,ml
2018/2/13,3935.63,ml
2018/2/14,3966.96,ml
2018/2/22,4052.73,ml
2018/2/23,4071.09,ml
2018/2/26,4118.42,ml
2018/2/27,4058.98,ml
2018/2/28,4023.64,ml
2018/3/1,4049.09,ml
2018/3/2,4016.46,ml
2018/3/5,4018.1,ml
2018/3/6,4066.56,ml
2018/3/7,4036.65,ml
2018/3/8,4077.6,ml
2018/3/9,4108.87,ml
2018/3/12,4127.67,ml
2018/3/13,4091.25,ml
2018/3/14,4073.34,ml
2018/3/15,4096.16,ml
2018/3/16,4056.42,mb
2018/3/19,4074.25,mb
2018/3/20,4077.7,mb
2018/3/21,4061.05,mb
2018/3/22,4020.35,mb
2018/3/23,3904.94,ml
2018/3/26,3879.89,ml
2018/3/27,3913.27,ml
2018/3/28,3842.72,ml
2018/3/29,3894.05,ml
2018/3/30,3898.5,ml
2018/4/2,3886.92,ml
2018/4/3,3862.48,ml
2018/4/4,3854.86,ml
2018/4/9,3852.93,ml
2018/4/10,3927.17,ml
2018/4/11,3938.34,ml
2018/4/12,3898.64,ml
2018/4/13,3871.14,ml
2018/4/16,3808.86,ml
2018/4/17,3748.64,ml
2018/4/18,3766.28,ml
2018/4/19,3811.84,ml
2018/4/20,3760.85,ml
2018/4/23,3766.33,ml
2018/4/24,3843.49,ml
2018/4/25,3828.7,ml
2018/4/26,3755.49,ml
2018/4/27,3756.88,ml
2018/5/2,3763.65,ml
2018/5/3,3793,ml
2018/5/4,3774.6,ml
2018/5/7,3834.19,ml
2018/5/8,3878.68,ml
2018/5/9,3871.62,ml
2018/5/10,3893.06,ml
2018/5/11,3872.84,ml
2018/5/14,3909.29,ml
2018/5/15,3924.1,ml
2018/5/16,3892.84,mb
2018/5/17,3864.05,mb
2018/5/18,3903.06,mb
2018/5/21,3921.24,mb
2018/5/22,3906.21,mb
2018/5/23,3854.58,mb
2018/5/24,3827.22,mb
2018/5/25,3816.5,mb
2018/5/28,3833.26,mb
2018/5/29,3804.01,mb
2018/5/30,3723.37,mb
2018/5/31,3802.38,mb
2018/6/1,3770.59,mb
2018/6/4,3807.58,mb
2018/6/5,3845.32,mb
2018/6/6,3837.35,mb
2018/6/7,3831.01,mb
2018/6/8,3779.62,ml
2018/6/11,3779.98,ml
2018/6/12,3825.95,ml
2018/6/13,3788.34,ml
2018/6/14,3773.37,ml
2018/6/15,3753.43,ml
2018/6/19,3621.12,ml
2018/6/20,3635.44,ml
2018/6/21,3592.97,ml
2018/6/22,3608.9,ml
2018/6/25,3560.48,ml
2018/6/26,3531.11,ml
2018/6/27,3459.26,ml
2018/6/28,3423.53,ml
2018/6/29,3510.98,ml
2018/7/2,3407.96,ml
2018/7/3,3409.28,ml
2018/7/4,3363.75,ml
2018/7/5,3342.44,ml
2018/7/6,3365.12,ml
2018/7/9,3459.18,ml
2018/7/10,3467.52,ml
2018/7/11,3407.53,ml
2018/7/12,3481.06,ml
2018/7/13,3492.69,ml
2018/7/16,3472.09,ml
2018/7/17,3449.38,ml
2018/7/18,3431.32,ml
2018/7/19,3428.34,ml
2018/7/20,3492.89,ml
2018/7/23,3525.75,ml
2018/7/24,3581.71,ml
2018/7/25,3577.75,mb
2018/7/26,3536.25,mb
2018/7/27,3521.23,mb
2018/7/30,3515.08,mb
2018/7/31,3517.66,mb
2018/8/1,3447.39,mb
2018/8/2,3370.96,mb
2018/8/3,3315.28,mb
2018/8/6,3273.27,ml
2018/8/7,3368.87,ml
2018/8/8,3314.51,ml
2018/8/9,3397.53,ml
2018/8/10,3405.02,ml
2018/8/13,3390.34,ml
2018/8/14,3372.91,ml
2018/8/15,3291.98,ml
2018/8/16,3276.73,ml
2018/8/17,3229.62,ml
2018/8/20,3267.25,ml
2018/8/21,3326.65,ml
2018/8/22,3307.95,ml
2018/8/23,3320.03,ml
2018/8/24,3325.33,ml
2018/8/27,3406.57,ml
2018/8/28,3400.17,ml
2018/8/29,3386.57,ml
2018/8/30,3351.09,ml
2018/8/31,3334.5,ml
